Plot Title: Man_Sept24_deploy,,,
#,"Date Time, GMT-07:00",DO_mgL,Temp_C
1,9/25/2024 10:00,7.15,15.3
2,9/25/2024 10:15,7.2,13.96
3,9/25/2024 10:30,7,13.74
4,9/25/2024 10:45,6.88,13.52
5,9/25/2024 11:00,6.71,13.42
6,9/25/2024 11:15,6.66,13.26
7,9/25/2024 11:30,6.5,13.22
8,9/25/2024 11:45,6.37,13.12
9,9/25/2024 12:00,6.33,13.06
10,9/25/2024 12:15,6.22,13.04
11,9/25/2024 12:30,6.22,13.02
12,9/25/2024 12:45,6.21,13.02
13,9/25/2024 13:00,6.31,13.02
14,9/25/2024 13:15,6.09,13.06
15,9/25/2024 13:30,6.37,13.1
16,9/25/2024 13:45,6.7,13.18
17,9/25/2024 14:00,6.7,13.18
18,9/25/2024 14:15,6.84,13.24
19,9/25/2024 14:30,7.83,13.6
20,9/25/2024 14:45,7.97,13.68
21,9/25/2024 15:00,7.84,13.64
22,9/25/2024 15:15,7.92,13.68
23,9/25/2024 15:30,8.19,13.74
24,9/25/2024 15:45,8.11,13.74
25,9/25/2024 16:00,8.04,13.72
26,9/25/2024 16:15,7.9,13.66
27,9/25/2024 16:30,7.66,13.66
28,9/25/2024 16:45,7.41,13.52
29,9/25/2024 17:00,7.34,13.44
30,9/25/2024 17:15,7.59,13.4
31,9/25/2024 17:30,7.64,13.4
32,9/25/2024 17:45,7.51,13.4
33,9/25/2024 18:00,7.97,13.54
34,9/25/2024 18:15,7.49,13.42
35,9/25/2024 18:30,7.41,13.44
36,9/25/2024 18:45,7.41,13.52
37,9/25/2024 19:00,7.81,13.56
38,9/25/2024 19:15,7.53,13.56
39,9/25/2024 19:30,7.84,13.54
40,9/25/2024 19:45,7.67,13.54
41,9/25/2024 20:00,7.28,13.48
42,9/25/2024 20:15,7.26,13.46
43,9/25/2024 20:30,7.09,13.44
44,9/25/2024 20:45,7.02,13.44
45,9/25/2024 21:00,7.09,13.4
46,9/25/2024 21:15,7.2,13.4
47,9/25/2024 21:30,7.1,13.4
48,9/25/2024 21:45,7.13,13.42
49,9/25/2024 22:00,7.22,13.42
50,9/25/2024 22:15,7.13,13.44
51,9/25/2024 22:30,7.2,13.46
52,9/25/2024 22:45,7.1,13.46
53,9/25/2024 23:00,6.91,13.46
54,9/25/2024 23:15,6.88,13.46
55,9/25/2024 23:30,6.8,13.46
56,9/25/2024 23:45,6.84,13.46
57,9/26/2024 0:00,7.02,13.44
58,9/26/2024 0:15,6.88,13.44
59,9/26/2024 0:30,7.02,13.44
60,9/26/2024 0:45,7.42,13.54
61,9/26/2024 1:00,7.37,13.58
62,9/26/2024 1:15,7.44,13.6
63,9/26/2024 1:30,7.33,13.6
64,9/26/2024 1:45,7.23,13.58
65,9/26/2024 2:00,7.34,13.58
66,9/26/2024 2:15,7.17,13.58
67,9/26/2024 2:30,6.92,13.56
68,9/26/2024 2:45,7.37,13.5
69,9/26/2024 3:00,7.35,13.5
70,9/26/2024 3:15,7.44,13.5
71,9/26/2024 3:30,7.28,13.5
72,9/26/2024 3:45,7.22,13.5
73,9/26/2024 4:00,7.26,13.48
74,9/26/2024 4:15,7.16,13.48
75,9/26/2024 4:30,7.26,13.52
76,9/26/2024 4:45,7.24,13.54
77,9/26/2024 5:00,7.2,13.56
78,9/26/2024 5:15,7.24,13.6
79,9/26/2024 5:30,7.27,13.64
80,9/26/2024 5:45,7.42,13.7
81,9/26/2024 6:00,7.16,13.7
82,9/26/2024 6:15,7.22,13.72
83,9/26/2024 6:30,7.16,13.74
84,9/26/2024 6:45,7.07,13.74
85,9/26/2024 7:00,7.05,13.74
86,9/26/2024 7:15,7.09,13.74
87,9/26/2024 7:30,7.06,13.74
88,9/26/2024 7:45,6.98,13.72
89,9/26/2024 8:00,7.27,13.76
90,9/26/2024 8:15,7.57,13.8
91,9/26/2024 8:30,7.49,13.84
92,9/26/2024 8:45,7.66,13.84
93,9/26/2024 9:00,7.62,13.86
94,9/26/2024 9:15,7.56,13.86
95,9/26/2024 9:30,7.36,13.82
96,9/26/2024 9:45,7.4,13.88
97,9/26/2024 10:00,7.65,13.9
98,9/26/2024 10:15,7.53,13.9
99,9/26/2024 10:30,7.35,13.9
100,9/26/2024 10:45,7.05,13.84
101,9/26/2024 11:00,6.94,13.76
102,9/26/2024 11:15,7,13.64
103,9/26/2024 11:30,6.74,13.62
104,9/26/2024 11:45,6.22,13.38
105,9/26/2024 12:00,6.22,13.26
106,9/26/2024 12:15,6.15,13.2
107,9/26/2024 12:30,5.96,13.06
108,9/26/2024 12:45,5.88,13
109,9/26/2024 13:00,5.87,12.96
110,9/26/2024 13:15,5.83,12.94
111,9/26/2024 13:30,5.79,12.94
112,9/26/2024 13:45,5.91,12.94
113,9/26/2024 14:00,5.79,12.94
114,9/26/2024 14:15,5.97,12.94
115,9/26/2024 14:30,6,12.96
116,9/26/2024 14:45,6.01,13
117,9/26/2024 15:00,5.97,13
118,9/26/2024 15:15,6.05,13.04
119,9/26/2024 15:30,6.87,13.3
120,9/26/2024 15:45,7.55,13.64
121,9/26/2024 16:00,7.05,13.72
122,9/26/2024 16:15,6.91,13.5
123,9/26/2024 16:30,6.73,13.36
124,9/26/2024 16:45,6.65,13.3
125,9/26/2024 17:00,6.73,13.34
126,9/26/2024 17:15,6.91,13.42
127,9/26/2024 17:30,7.21,13.46
128,9/26/2024 17:45,7.42,13.54
129,9/26/2024 18:00,7.06,13.48
130,9/26/2024 18:15,6.67,13.44
131,9/26/2024 18:30,6.78,13.44
132,9/26/2024 18:45,7.41,13.54
133,9/26/2024 19:00,7.3,13.46
134,9/26/2024 19:15,7.55,13.44
135,9/26/2024 19:30,7.45,13.38
136,9/26/2024 19:45,7.27,13.34
137,9/26/2024 20:00,6.96,13.28
138,9/26/2024 20:15,6.85,13.26
139,9/26/2024 20:30,6.95,13.24
140,9/26/2024 20:45,7.19,13.22
141,9/26/2024 21:00,6.89,13.24
142,9/26/2024 21:15,6.88,13.24
143,9/26/2024 21:30,6.75,13.26
144,9/26/2024 21:45,6.8,13.28
145,9/26/2024 22:00,6.64,13.28
146,9/26/2024 22:15,6.91,13.3
147,9/26/2024 22:30,6.99,13.4
148,9/26/2024 22:45,7.03,13.5
149,9/26/2024 23:00,6.93,13.5
150,9/26/2024 23:15,6.98,13.48
151,9/26/2024 23:30,6.92,13.46
152,9/26/2024 23:45,6.73,13.46
153,9/27/2024 0:00,6.63,13.46
154,9/27/2024 0:15,6.74,13.42
155,9/27/2024 0:30,6.72,13.42
156,9/27/2024 0:45,6.8,13.36
157,9/27/2024 1:00,6.94,13.32
158,9/27/2024 1:15,6.89,13.34
159,9/27/2024 1:30,6.96,13.32
160,9/27/2024 1:45,6.91,13.32
161,9/27/2024 2:00,6.89,13.34
162,9/27/2024 2:15,6.89,13.36
163,9/27/2024 2:30,6.89,13.36
164,9/27/2024 2:45,6.95,13.34
165,9/27/2024 3:00,6.95,13.38
166,9/27/2024 3:15,6.91,13.46
167,9/27/2024 3:30,6.82,13.48
168,9/27/2024 3:45,6.67,13.36
169,9/27/2024 4:00,6.54,13.36
170,9/27/2024 4:15,7,13.4
171,9/27/2024 4:30,7.1,13.46
172,9/27/2024 4:45,7.06,13.48
173,9/27/2024 5:00,7.17,13.52
174,9/27/2024 5:15,6.78,13.48
175,9/27/2024 5:30,6.51,13.42
176,9/27/2024 5:45,6.43,13.48
177,9/27/2024 6:00,6.59,13.42
178,9/27/2024 6:15,6.89,13.48
179,9/27/2024 6:30,6.82,13.5
180,9/27/2024 6:45,6.81,13.52
181,9/27/2024 7:00,7,13.58
182,9/27/2024 7:15,7.17,13.66
183,9/27/2024 7:30,6.95,13.66
184,9/27/2024 7:45,7.01,13.68
185,9/27/2024 8:00,6.94,13.7
186,9/27/2024 8:15,6.8,13.7
187,9/27/2024 8:30,6.91,13.72
188,9/27/2024 8:45,7.09,13.74
189,9/27/2024 9:00,6.93,13.74
190,9/27/2024 9:15,6.77,13.74
191,9/27/2024 9:30,6.91,13.76
192,9/27/2024 9:45,7.05,13.76
193,9/27/2024 10:00,7.03,13.78
194,9/27/2024 10:15,7.08,13.78
195,9/27/2024 10:30,6.99,13.8
196,9/27/2024 10:45,7.09,13.8
197,9/27/2024 11:00,7.15,13.84
198,9/27/2024 11:15,7.08,13.86
199,9/27/2024 11:30,7.23,13.88
200,9/27/2024 11:45,7.33,13.82
201,9/27/2024 12:00,7.2,13.82
202,9/27/2024 12:15,7.14,13.86
203,9/27/2024 12:30,7.02,13.74
204,9/27/2024 12:45,6.8,13.72
205,9/27/2024 13:00,6.53,13.62
206,9/27/2024 13:15,6.15,13.52
207,9/27/2024 13:30,6.49,13.48
208,9/27/2024 13:45,5.86,13.12
209,9/27/2024 14:00,5.75,13.02
210,9/27/2024 14:15,5.64,12.98
211,9/27/2024 14:30,5.57,12.94
212,9/27/2024 14:45,5.59,12.92
213,9/27/2024 15:00,5.69,12.9
214,9/27/2024 15:15,5.65,12.9
215,9/27/2024 15:30,6.08,13.1
216,9/27/2024 15:45,6.42,13.2
217,9/27/2024 16:00,6.58,13.3
218,9/27/2024 16:15,6.66,13.34
219,9/27/2024 16:30,6.65,13.34
220,9/27/2024 16:45,6.56,13.36
221,9/27/2024 17:00,6.64,13.36
222,9/27/2024 17:15,6.72,13.4
223,9/27/2024 17:30,6.74,13.38
224,9/27/2024 17:45,6.6,13.38
225,9/27/2024 18:00,6.47,13.36
226,9/27/2024 18:15,6.38,13.36
227,9/27/2024 18:30,6.31,13.32
228,9/27/2024 18:45,6.39,13.32
229,9/27/2024 19:00,7.06,13.38
230,9/27/2024 19:15,7.16,13.4
231,9/27/2024 19:30,7.03,13.38
232,9/27/2024 19:45,7.24,13.44
233,9/27/2024 20:00,7.23,13.48
234,9/27/2024 20:15,7.58,13.56
235,9/27/2024 20:30,7.06,13.5
236,9/27/2024 20:45,6.86,13.38
237,9/27/2024 21:00,6.86,13.38
238,9/27/2024 21:15,6.73,13.34
239,9/27/2024 21:30,6.86,13.34
240,9/27/2024 21:45,6.67,13.34
241,9/27/2024 22:00,6.79,13.38
242,9/27/2024 22:15,6.77,13.46
243,9/27/2024 22:30,6.71,13.46
244,9/27/2024 22:45,6.66,13.46
245,9/27/2024 23:00,6.67,13.46
246,9/27/2024 23:15,6.7,13.46
247,9/27/2024 23:30,6.6,13.46
248,9/27/2024 23:45,6.59,13.48
249,9/28/2024 0:00,6.56,13.5
250,9/28/2024 0:15,6.6,13.5
251,9/28/2024 0:30,6.5,13.5
252,9/28/2024 0:45,6.7,13.5
253,9/28/2024 1:00,6.45,13.5
254,9/28/2024 1:15,6.46,13.48
255,9/28/2024 1:30,6.42,13.5
256,9/28/2024 1:45,6.25,13.46
257,9/28/2024 2:00,6.21,13.46
258,9/28/2024 2:15,6.22,13.46
259,9/28/2024 2:30,6.24,13.44
260,9/28/2024 2:45,6.12,13.4
261,9/28/2024 3:00,6.03,13.4
262,9/28/2024 3:15,6.05,13.38
263,9/28/2024 3:30,6.03,13.38
264,9/28/2024 3:45,6.31,13.34
265,9/28/2024 4:00,6.49,13.38
266,9/28/2024 4:15,6.47,13.38
267,9/28/2024 4:30,6.3,13.38
268,9/28/2024 4:45,5.98,13.36
269,9/28/2024 5:00,6.31,13.32
270,9/28/2024 5:15,6.56,13.32
271,9/28/2024 5:30,6.63,13.26
272,9/28/2024 5:45,6.52,13.24
273,9/28/2024 6:00,6.51,13.22
274,9/28/2024 6:15,6.33,13.26
275,9/28/2024 6:30,6.19,13.28
276,9/28/2024 6:45,6.16,13.26
277,9/28/2024 7:00,6.07,13.28
278,9/28/2024 7:15,6.45,13.38
279,9/28/2024 7:30,6.5,13.46
280,9/28/2024 7:45,6.45,13.48
281,9/28/2024 8:00,6.59,13.5
282,9/28/2024 8:15,6.74,13.54
283,9/28/2024 8:30,6.73,13.56
284,9/28/2024 8:45,6.75,13.58
285,9/28/2024 9:00,6.82,13.64
286,9/28/2024 9:15,6.74,13.66
287,9/28/2024 9:30,6.78,13.68
288,9/28/2024 9:45,6.78,13.68
289,9/28/2024 10:00,6.74,13.7
290,9/28/2024 10:15,6.7,13.7
291,9/28/2024 10:30,6.78,13.72
292,9/28/2024 10:45,6.72,13.7
293,9/28/2024 11:00,6.74,13.72
294,9/28/2024 11:15,6.73,13.7
295,9/28/2024 11:30,6.87,13.74
296,9/28/2024 11:45,6.64,13.7
297,9/28/2024 12:00,6.6,13.72
298,9/28/2024 12:15,6.79,13.78
299,9/28/2024 12:30,6.71,13.84
300,9/28/2024 12:45,6.52,13.74
301,9/28/2024 13:00,6.66,13.78
302,9/28/2024 13:15,6.64,13.56
303,9/28/2024 13:30,6.43,13.56
304,9/28/2024 13:45,6.31,13.5
305,9/28/2024 14:00,6.25,13.4
306,9/28/2024 14:15,6.03,13.3
307,9/28/2024 14:30,5.97,13.26
308,9/28/2024 14:45,5.88,13.22
309,9/28/2024 15:00,5.81,13.18
310,9/28/2024 15:15,5.67,13.1
311,9/28/2024 15:30,5.58,13.04
312,9/28/2024 15:45,5.6,13.04
313,9/28/2024 16:00,5.44,12.98
314,9/28/2024 16:15,5.51,12.96
315,9/28/2024 16:30,6,13.16
316,9/28/2024 16:45,6.17,13.22
317,9/28/2024 17:00,6.23,13.22
318,9/28/2024 17:15,6.46,13.26
319,9/28/2024 17:30,6.31,13.26
320,9/28/2024 17:45,6.26,13.26
321,9/28/2024 18:00,6.33,13.3
322,9/28/2024 18:15,6.31,13.28
323,9/28/2024 18:30,6.25,13.28
324,9/28/2024 18:45,5.98,13.28
325,9/28/2024 19:00,6.26,13.32
326,9/28/2024 19:15,7.09,13.42
327,9/28/2024 19:30,6.68,13.38
328,9/28/2024 19:45,6.61,13.38
329,9/28/2024 20:00,6.74,13.4
330,9/28/2024 20:15,7.05,13.46
331,9/28/2024 20:30,6.51,13.34
332,9/28/2024 20:45,6.78,13.36
333,9/28/2024 21:00,7.07,13.44
334,9/28/2024 21:15,7.2,13.46
335,9/28/2024 21:30,6.28,13.32
336,9/28/2024 21:45,6.25,13.3
337,9/28/2024 22:00,6.23,13.34
338,9/28/2024 22:15,6.32,13.4
339,9/28/2024 22:30,6.38,13.42
340,9/28/2024 22:45,6.33,13.48
341,9/28/2024 23:00,6.31,13.5
342,9/28/2024 23:15,6.47,13.5
343,9/28/2024 23:30,6.39,13.5
344,9/28/2024 23:45,6.37,13.5
345,9/29/2024 0:00,6.28,13.5
346,9/29/2024 0:15,6.21,13.52
347,9/29/2024 0:30,6.28,13.52
348,9/29/2024 0:45,6.33,13.54
349,9/29/2024 1:00,6.23,13.54
350,9/29/2024 1:15,6.1,13.52
351,9/29/2024 1:30,6.22,13.52
352,9/29/2024 1:45,5.72,13.52
353,9/29/2024 2:00,5.65,13.54
354,9/29/2024 2:15,5.72,13.52
355,9/29/2024 2:30,6,13.52
356,9/29/2024 2:45,5.71,13.52
357,9/29/2024 3:00,5.6,13.5
358,9/29/2024 3:15,5.93,13.5
359,9/29/2024 3:30,5.95,13.5
360,9/29/2024 3:45,5.73,13.48
361,9/29/2024 4:00,5.72,13.48
362,9/29/2024 4:15,5.68,13.48
363,9/29/2024 4:30,5.85,13.46
364,9/29/2024 4:45,5.98,13.46
365,9/29/2024 5:00,6,13.44
366,9/29/2024 5:15,5.96,13.42
367,9/29/2024 5:30,5.71,13.42
368,9/29/2024 5:45,6.17,13.44
369,9/29/2024 6:00,6.31,13.44
370,9/29/2024 6:15,6.1,13.44
371,9/29/2024 6:30,5.9,13.42
372,9/29/2024 6:45,5.72,13.42
373,9/29/2024 7:00,5.72,13.42
374,9/29/2024 7:15,5.98,13.4
375,9/29/2024 7:30,6.02,13.38
376,9/29/2024 7:45,6.03,13.4
377,9/29/2024 8:00,6.05,13.36
378,9/29/2024 8:15,6.17,13.42
379,9/29/2024 8:30,6.09,13.46
380,9/29/2024 8:45,6.14,13.5
381,9/29/2024 9:00,6.28,13.56
382,9/29/2024 9:15,6.39,13.6
383,9/29/2024 9:30,6.18,13.6
384,9/29/2024 9:45,6.53,13.62
385,9/29/2024 10:00,6.43,13.64
386,9/29/2024 10:15,6.51,13.66
387,9/29/2024 10:30,6.38,13.7
388,9/29/2024 10:45,6.3,13.72
389,9/29/2024 11:00,6.5,13.72
390,9/29/2024 11:15,6.51,13.74
391,9/29/2024 11:30,6.58,13.76
392,9/29/2024 11:45,6.5,13.78
393,9/29/2024 12:00,6.6,13.76
394,9/29/2024 12:15,6.35,13.8
395,9/29/2024 12:30,6.59,13.84
396,9/29/2024 12:45,6.35,13.84
397,9/29/2024 13:00,6.35,13.82
398,9/29/2024 13:15,6.4,13.84
399,9/29/2024 13:30,6.37,13.84
400,9/29/2024 13:45,6.53,13.84
401,9/29/2024 14:00,6.35,13.76
402,9/29/2024 14:15,6.15,13.74
403,9/29/2024 14:30,5.76,13.64
404,9/29/2024 14:45,5.53,13.3
405,9/29/2024 15:00,5.3,13.16
406,9/29/2024 15:15,5.19,13.04
407,9/29/2024 15:30,5.5,13.08
408,9/29/2024 15:45,5.66,13.16
409,9/29/2024 16:00,5.64,13.16
410,9/29/2024 16:15,5.82,13.2
411,9/29/2024 16:30,5.61,13.18
412,9/29/2024 16:45,5.58,13.16
413,9/29/2024 17:00,5.55,13.16
414,9/29/2024 17:15,5.52,13.16
415,9/29/2024 17:30,5.52,13.16
416,9/29/2024 17:45,5.78,13.24
417,9/29/2024 18:00,5.64,13.26
418,9/29/2024 18:15,5.71,13.28
419,9/29/2024 18:30,5.73,13.3
420,9/29/2024 18:45,5.74,13.3
421,9/29/2024 19:00,5.81,13.32
422,9/29/2024 19:15,6.08,13.4
423,9/29/2024 19:30,6.71,13.5
424,9/29/2024 19:45,6.45,13.5
425,9/29/2024 20:00,6.16,13.46
426,9/29/2024 20:15,6.05,13.42
427,9/29/2024 20:30,5.96,13.36
428,9/29/2024 20:45,5.71,13.32
429,9/29/2024 21:00,6.1,13.4
430,9/29/2024 21:15,6.03,13.36
431,9/29/2024 21:30,6.15,13.34
432,9/29/2024 21:45,5.97,13.36
433,9/29/2024 22:00,5.9,13.38
434,9/29/2024 22:15,5.98,13.42
435,9/29/2024 22:30,6.05,13.46
436,9/29/2024 22:45,6.05,13.52
437,9/29/2024 23:00,6.11,13.58
438,9/29/2024 23:15,6.04,13.6
439,9/29/2024 23:30,5.96,13.6
440,9/29/2024 23:45,5.85,13.58
441,9/30/2024 0:00,5.71,13.58
442,9/30/2024 0:15,5.87,13.56
443,9/30/2024 0:30,5.85,13.56
444,9/30/2024 0:45,5.75,13.56
445,9/30/2024 1:00,5.62,13.56
446,9/30/2024 1:15,5.61,13.56
447,9/30/2024 1:30,5.58,13.56
448,9/30/2024 1:45,5.43,13.56
449,9/30/2024 2:00,5.55,13.54
450,9/30/2024 2:15,5.6,13.54
451,9/30/2024 2:30,5.33,13.54
452,9/30/2024 2:45,5.3,13.52
453,9/30/2024 3:00,5.22,13.52
454,9/30/2024 3:15,5.5,13.48
455,9/30/2024 3:30,5.72,13.48
456,9/30/2024 3:45,5.59,13.48
457,9/30/2024 4:00,5.57,13.46
458,9/30/2024 4:15,5.53,13.44
459,9/30/2024 4:30,5.43,13.4
460,9/30/2024 4:45,5.39,13.34
461,9/30/2024 5:00,5.45,13.34
462,9/30/2024 5:15,5.5,13.28
463,9/30/2024 5:30,5.55,13.26
464,9/30/2024 5:45,5.45,13.24
465,9/30/2024 6:00,5.31,13.22
466,9/30/2024 6:15,5.29,13.2
467,9/30/2024 6:30,5.23,13.22
468,9/30/2024 6:45,5.09,13.2
469,9/30/2024 7:00,5.55,13.18
470,9/30/2024 7:15,5.51,13.16
471,9/30/2024 7:30,5.43,13.08
472,9/30/2024 7:45,5.26,12.96
473,9/30/2024 8:00,5.29,13.04
474,9/30/2024 8:15,5.15,13.06
475,9/30/2024 8:30,5.25,13.1
476,9/30/2024 8:45,5.38,13.22
477,9/30/2024 9:00,5.45,13.34
478,9/30/2024 9:15,5.74,13.42
479,9/30/2024 9:30,5.76,13.46
480,9/30/2024 9:45,5.81,13.5
481,9/30/2024 10:00,5.87,13.52
482,9/30/2024 10:15,5.75,13.56
483,9/30/2024 10:30,5.82,13.6
484,9/30/2024 10:45,5.78,13.6
485,9/30/2024 11:00,5.81,13.66
486,9/30/2024 11:15,5.86,13.68
487,9/30/2024 11:30,5.62,13.68
488,9/30/2024 11:45,5.83,13.72
489,9/30/2024 12:00,5.95,13.7
490,9/30/2024 12:15,5.95,13.76
491,9/30/2024 12:30,5.73,13.7
492,9/30/2024 12:45,6.03,13.84
493,9/30/2024 13:00,5.97,13.86
494,9/30/2024 13:15,5.94,13.86
495,9/30/2024 13:30,5.72,13.86
496,9/30/2024 13:45,5.81,13.88
497,9/30/2024 14:00,6.01,13.8
498,9/30/2024 14:15,5.88,13.78
499,9/30/2024 14:30,5.71,13.72
500,9/30/2024 14:45,5.64,13.68
501,9/30/2024 15:00,5.43,13.6
502,9/30/2024 15:15,5.16,13.36
503,9/30/2024 15:30,5.06,13.26
504,9/30/2024 15:45,4.92,13.2
505,9/30/2024 16:00,4.87,13.1
506,9/30/2024 16:15,4.74,13.02
507,9/30/2024 16:30,4.66,12.96
508,9/30/2024 16:45,4.7,12.92
509,9/30/2024 17:00,4.66,12.92
510,9/30/2024 17:15,4.6,12.92
511,9/30/2024 17:30,4.67,12.9
512,9/30/2024 17:45,4.96,12.94
513,9/30/2024 18:00,5.18,13.08
514,9/30/2024 18:15,5.16,13.08
515,9/30/2024 18:30,4.92,13.06
516,9/30/2024 18:45,4.87,13.06
517,9/30/2024 19:00,4.76,12.98
518,9/30/2024 19:15,7.05,13.5
519,9/30/2024 19:30,7.1,13.66
520,9/30/2024 19:45,6.73,13.62
521,9/30/2024 20:00,7.27,13.62
522,9/30/2024 20:15,7.09,13.64
523,9/30/2024 20:30,6.88,13.54
524,9/30/2024 20:45,8.71,13.84
525,9/30/2024 21:00,6.91,13.6
526,9/30/2024 21:15,7.91,13.72
527,9/30/2024 21:30,7.56,13.46
528,9/30/2024 21:45,5.76,13.28
529,9/30/2024 22:00,5.54,13.32
530,9/30/2024 22:15,5.72,13.36
531,9/30/2024 22:30,5.73,13.38
532,9/30/2024 22:45,5.71,13.42
533,9/30/2024 23:00,5.33,13.44
534,9/30/2024 23:15,5.33,13.44
535,9/30/2024 23:30,5.23,13.48
536,9/30/2024 23:45,5.44,13.52
537,10/1/2024 0:00,5.5,13.52
538,10/1/2024 0:15,5.3,13.5
539,10/1/2024 0:30,5.19,13.5
540,10/1/2024 0:45,5.51,13.5
541,10/1/2024 1:00,5.52,13.5
542,10/1/2024 1:15,5.52,13.5
543,10/1/2024 1:30,5.53,13.5
544,10/1/2024 1:45,5.25,13.52
545,10/1/2024 2:00,5.18,13.52
546,10/1/2024 2:15,5.31,13.52
547,10/1/2024 2:30,5.11,13.5
548,10/1/2024 2:45,5.33,13.5
549,10/1/2024 3:00,5.2,13.48
550,10/1/2024 3:15,5.02,13.46
551,10/1/2024 3:30,4.87,13.44
552,10/1/2024 3:45,5.13,13.42
553,10/1/2024 4:00,5.12,13.4
554,10/1/2024 4:15,5.02,13.34
555,10/1/2024 4:30,4.88,13.26
556,10/1/2024 4:45,4.78,13.16
557,10/1/2024 5:00,4.96,13.12
558,10/1/2024 5:15,4.87,13.12
559,10/1/2024 5:30,4.97,13.06
560,10/1/2024 5:45,4.99,13.04
561,10/1/2024 6:00,4.88,13.02
562,10/1/2024 6:15,4.74,13.06
563,10/1/2024 6:30,4.92,13.04
564,10/1/2024 6:45,4.95,13
565,10/1/2024 7:00,5.11,12.98
566,10/1/2024 7:15,5.06,12.98
567,10/1/2024 7:30,5.32,13.06
568,10/1/2024 7:45,5.44,13.16
569,10/1/2024 8:00,5.55,13.18
570,10/1/2024 8:15,5.39,13.22
571,10/1/2024 8:30,5.5,13.18
572,10/1/2024 8:45,5.19,13.16
573,10/1/2024 9:00,4.98,13.2
574,10/1/2024 9:15,4.87,13.2
575,10/1/2024 9:30,5.4,13.18
576,10/1/2024 9:45,5.52,13.2
577,10/1/2024 10:00,5.54,13.3
578,10/1/2024 10:15,5.68,13.36
579,10/1/2024 10:30,5.67,13.4
580,10/1/2024 10:45,5.78,13.48
581,10/1/2024 11:00,5.76,13.5
582,10/1/2024 11:15,5.68,13.56
583,10/1/2024 11:30,5.58,13.6
584,10/1/2024 11:45,5.57,13.62
585,10/1/2024 12:00,5.47,13.62
586,10/1/2024 12:15,5.58,13.64
587,10/1/2024 12:30,5.48,13.66
588,10/1/2024 12:45,5.53,13.66
589,10/1/2024 13:00,5.68,13.72
590,10/1/2024 13:15,5.86,13.76
591,10/1/2024 13:30,5.57,13.76
592,10/1/2024 13:45,5.46,13.8
593,10/1/2024 14:00,5.55,13.74
594,10/1/2024 14:15,5.51,13.76
595,10/1/2024 14:30,5.58,13.76
596,10/1/2024 14:45,5.46,13.72
597,10/1/2024 15:00,5.16,13.5
598,10/1/2024 15:15,5.15,13.46
599,10/1/2024 15:30,5.4,13.54
600,10/1/2024 15:45,5.15,13.38
601,10/1/2024 16:00,4.99,13.22
602,10/1/2024 16:15,4.85,13.12
603,10/1/2024 16:30,4.7,13.06
604,10/1/2024 16:45,4.54,13
605,10/1/2024 17:00,4.59,12.98
606,10/1/2024 17:15,4.49,12.96
607,10/1/2024 17:30,4.47,12.94
608,10/1/2024 17:45,4.43,12.92
609,10/1/2024 18:00,4.76,12.96
610,10/1/2024 18:15,4.81,13.04
611,10/1/2024 18:30,4.67,13.06
612,10/1/2024 18:45,4.62,13.06
613,10/1/2024 19:00,4.66,13.06
614,10/1/2024 19:15,4.7,13.1
615,10/1/2024 19:30,4.49,13.06
616,10/1/2024 19:45,4.84,13.08
617,10/1/2024 20:00,6.95,13.42
618,10/1/2024 20:15,5.9,13.48
619,10/1/2024 20:30,5.81,13.46
620,10/1/2024 20:45,5.55,13.44
621,10/1/2024 21:00,5.72,13.44
622,10/1/2024 21:15,5.82,13.52
623,10/1/2024 21:30,5.17,13.28
624,10/1/2024 21:45,5.26,13.26
625,10/1/2024 22:00,4.94,13.2
626,10/1/2024 22:15,5.09,13.28
627,10/1/2024 22:30,5.08,13.32
628,10/1/2024 22:45,5.16,13.34
629,10/1/2024 23:00,5.25,13.36
630,10/1/2024 23:15,5.3,13.4
631,10/1/2024 23:30,5.15,13.46
632,10/1/2024 23:45,5.04,13.46
633,10/2/2024 0:00,5.09,13.48
634,10/2/2024 0:15,4.98,13.48
635,10/2/2024 0:30,4.68,13.48
636,10/2/2024 0:45,5.19,13.52
637,10/2/2024 1:00,5.08,13.5
638,10/2/2024 1:15,5.18,13.5
639,10/2/2024 1:30,5.51,13.5
640,10/2/2024 1:45,5.26,13.52
641,10/2/2024 2:00,5.01,13.52
642,10/2/2024 2:15,5.05,13.52
643,10/2/2024 2:30,4.78,13.52
644,10/2/2024 2:45,4.85,13.52
645,10/2/2024 3:00,4.89,13.5
646,10/2/2024 3:15,5.08,13.52
647,10/2/2024 3:30,5.09,13.54
648,10/2/2024 3:45,5.09,13.54
649,10/2/2024 4:00,4.9,13.52
650,10/2/2024 4:15,4.57,13.5
651,10/2/2024 4:30,4.33,13.4
652,10/2/2024 4:45,4.23,13.26
653,10/2/2024 5:00,4.29,13.26
654,10/2/2024 5:15,4.31,13.2
655,10/2/2024 5:30,4.38,13.18
656,10/2/2024 5:45,4.53,13.12
657,10/2/2024 6:00,4.41,13.08
658,10/2/2024 6:15,4.29,13
659,10/2/2024 6:30,4.41,13
660,10/2/2024 6:45,4.54,13.1
661,10/2/2024 7:00,4.52,13.08
662,10/2/2024 7:15,4.36,13.06
663,10/2/2024 7:30,4.47,13.06
664,10/2/2024 7:45,4.12,13.04
665,10/2/2024 8:00,4.09,13.02
